ID,TAXONOMÍA
1,Algorithms
2,Computing
3,Programming
4,Simulation
5,Artificial intelligence
6,Computing
7,Complexity
8,Logic
9,Information Recovery
10,Machine Learning
11,Modeling and Simulation
12,Human-computer interaction
13,Cognitive systems
14,Intelligent systems
15,Intelligent automation
16,Knowledge based systems
17,Expert systems
18,Inference mechanisms
19,Distance learning
20,Nearest neighbor methods
21,Learning systems
22,Supervised learning
23,Unsupervised learning
24,Deep learning
25,Dimensionality reduction
26,Prediction methods
27,Predictive models
28,Computational intelligence
29,Computational complexity
30,Support vector machines
31,Machine intelligence
32,Neural networks
33,Artificial neural networks
34,Long short term memory
35,Feedforward neural networks
36,Mathematics computing
37,Knowledge transfer
38,Data compression
39,Neural network compression
40,Data processing
41,Data analysis
42,Data collection
43,Data preprocessing
44,Text processing
45,Restful API
